Id,Title, Artist, Year, Duo, Explicit, Date Added, Styles, Languages
6187, What A Wonderful World, Louis Armstrong, 1968, 0, 0, 2007-05-29,"Pop,Oldies", English
53954,"What About Us",Pink,2017,0,0,2017-09-14,Pop,English
10100,"Que Sera, Sera (Whatever Will Be, Will Be)","Doris Day",1956,0,0,2007-05-04,"Pop,TV & movie soundtrack",English
53170,"Whatever It Takes","Imagine Dragons",2017,0,0,2017-06-06,Pop,English
10091,"Flashdance...What A Feeling","Irene Cara",1983,0,0,2007-05-04,"TV & movie soundtrack,Pop,80s",English
55565,"Nice for What",Drake,2018,0,1,2018-06-22,Rap,English
6355,"I Want To Know What Love Is",Foreigner,1984,0,0,2007-08-27,"Love,Pop,Soft rock",English
21663,"Over The Rainbow / What A Wonderful World","Israel Kamakawiwo'ole",1993,0,0,2011-05-30,"World/Folk,Zouk/Creole,TV & movie soundtrack",English
11467,"December '63 (Oh What A Night)","The Four Seasons",1976,0,0,2008-08-27,"Pop,Disco",English
48474,"What I Got",Sublime,1996,0,1,2015-02-13,"Alternative,Rock,Ska,Punk/Grunge,Rap",English
19903,"What Is Love",Haddaway,1992,0,0,2011-12-14,Dance,English
13766,"What's Love Got To Do With It","Tina Turner",1984,0,0,2011-05-31,"Pop,Love",English
52184,"That's What I Like","Bruno Mars",2016,0,0,2017-01-11,"R&B,Soul",English
13947,"That's What Friends Are For","Dionne Warwick",1985,1,0,2011-11-28,"Pop,Soul,Love,Duet",English
54013,"Look What You Made Me Do","Taylor Swift",2017,0,0,2017-09-14,"Pop,Dance,Electro",English
53355,"What Ifs","Kane Brown",2016,0,0,2017-07-17,"Country,Pop",English
6849,"What You Won't Do For Love","Bobby Caldwell",1978,0,0,2011-10-20,"Soul,Pop",English
10202,"What's Going On","Marvin Gaye",1971,0,0,2007-07-31,Soul,English
34024,"Baby, What You Want Me To Do","Elvis Presley",1968,0,0,2011-05-31,"Blues,Oldies,Rock 'n Roll",English
38104,"What Makes You Beautiful","One Direction",2011,0,0,2011-09-21,"Teen pop,Pop",English
8702,"No Matter What",Boyzone,1998,0,0,2011-05-30,"Teen pop,Pop,Love",English
14554,"Come What May","Moulin Rouge!",2001,1,0,2008-05-05,"Duet,Musical,TV & movie soundtrack",English
50431,"What I Like About You","The Romantics",1979,0,0,2016-01-26,"Rock,Pop",English
18517,"What A Wonderful World","Michael Bublé",2001,0,0,2011-05-31,"Pop,Jazz",English
11968,"What Is This Feeling?",Wicked,2003,1,0,2008-05-29,"Musical,Duet",English
20630,"Oh What A Beautiful Morning",Oklahoma!,1943,0,0,2011-06-28,Musical,English
54135,"What Lovers Do","Maroon 5",2017,0,0,2017-10-25,"Pop,Dance,Electro",English
20654,"So What",Pink,2008,0,0,2011-05-30,"Rock,Pop",English
37172,"What a Fool Believes","The Doobie Brothers",1978,0,0,2012-08-23,"Funk,Soul,Pop",English
6726,"What a Diff'rence a Day Makes!","Dinah Washington",1959,0,0,2012-10-12,Pop,English
30225,"What A Difference A Day Made","Jamie Cullum",2008,0,0,2011-08-23,"Jazz,Pop",English
14202,"What A Wonderful World","Katie Melua",2007,1,0,2011-11-03,"Jazz,Duet",English
8698,"What's My Age Again?",Blink-182,1999,0,1,2015-09-24,"Punk/Grunge,Pop,Rock",English
50776,"What Are You Listening To","Chris Stapleton",2013,0,0,2016-04-14,"Country,Rock",English
13767,"Whatever You Want","Status Quo",1979,0,0,2012-02-01,Rock,English
25431,"What Dreams Are Made Of","Hilary Duff",2003,0,0,2015-11-23,"TV & movie soundtrack,Dance,Teen pop",English
21731,"What A Wonderful World (duet)","Louis Armstrong",1999,1,0,2011-05-30,"Jazz,Duet",English
8514,"What It's Like",Everlast,1990,0,1,2011-11-19,"Pop,Rock",English
33771,"You Can't Always Get What You Want","The Rolling Stones",1969,0,0,2011-11-22,Rock,English
6763,"What Part Of No","Lorrie Morgan",1992,0,0,2012-05-03,Country,English
30095,"What A Wonderful World","Stacey Kent",2007,0,0,2011-05-31,"Jazz,Pop",English
13979,"What'd I Say","Ray Charles",1963,0,0,2011-05-31,"Soul,Gospel",English
32161,"What A Wonderful World","Céline Dion",2005,0,0,2011-05-31,"Pop,Soft rock",English
40754,"Look What You've Done To Me","Boz Scaggs",1980,0,0,2012-07-12,Soul,English
54567,"Whatever You Want",Pink,2017,0,0,2017-12-06,Pop,English
6238,"What Was I Thinkin'","Dierks Bentley",2003,0,0,2011-12-10,Country,English
13664,"I Am What I Am","Gloria Gaynor",1983,0,0,2011-05-30,"Pop,80s",English
51251,"This Is What You Came For","Calvin Harris",2016,0,0,2016-06-24,"Pop,Dance,Electro",English
16921,"What's A Woman?","Vaya Con Dios",1990,0,0,2011-05-31,"Soul,Love",English
33091,"What A Dog / He's A Tramp","Lady And The Tramp",1955,0,0,2015-08-28,"TV & movie soundtrack,Jazz",English
49767,"What Do You Mean?","Justin Bieber",2015,0,0,2015-10-30,"Pop,Dance,Electro",English
35462,"Guy What Takes His Time","Christina Aguilera",2010,0,0,2012-02-10,"Musical,TV & movie soundtrack,Blues,Jazz,Oldies",English
25900,"What Kind of Fool Am I","Sammy Davis Jr.",1962,0,0,2011-10-08,"Jazz,Pop,Musical",English
39638,"Stronger (What Doesn't Kill You)","Kelly Clarkson",2011,0,0,2012-03-23,"Pop,Rock",English
12989,"Practice What You Preach","Barry White",1994,0,0,2011-09-23,"Soul,Love",English
53293,"Somewhere Over the Rainbow / What a Wonderful World","Cliff Richard",2001,0,0,2017-06-28,Pop,English
9340,"You Get What You Give","The New Radicals",1996,0,0,2011-05-31,Rock,English
17527,"What Hurts The Most","Rascal Flatts",2005,0,0,2011-05-31,"Soft rock,Country",English
11387,"Whatta Man","En Vogue",1993,1,0,2012-02-07,"Rap,R&B,Duet",English
25106,"What I've Got In Mind","Billie Jo Spears",1976,0,0,2017-09-20,Country,English
14901,"What A Friend We Have In Jesus","Alan Jackson",2006,0,0,2012-01-13,"Country,Christian",English
33313,"What I've Been Looking For","High School Musical",2006,0,0,2018-04-13,"TV & movie soundtrack,Musical",English
36851,"What's Left Of The Flag","Flogging Molly",2002,0,0,2011-07-16,"Celtic,Punk/Grunge",English
29740,"What A Wonderful World","Rod Stewart",2004,0,0,2011-05-31,"Jazz,Pop",English
34911,"What's My Name",Rihanna,2010,0,0,2011-05-30,R&B,English
6727,"What's New Pussycat?","Tom Jones",1967,0,0,2013-02-21,"Pop,Oldies",English
42884,"My Songs Know What You Did In The Dark","Fall Out Boy",2013,0,0,2013-02-19,"Rock,Punk/Grunge",English
19221,"Whatever Lola Wants (Lola Gets)","Sarah Vaughan",1954,0,0,2011-11-29,"Jazz,Oldies",English
20754,"Whatever You Like",T.I.,2008,0,0,2018-06-15,Rap,English
28857,"That's What I Like","Jive Bunny And The Mastermixers",1989,0,0,2017-05-22,"Rock 'n Roll",English
18213,"What Becomes Of The Brokenhearted","Jimmy Ruffin",1966,0,0,2012-03-11,Soul,English
41376,"What Is Hip?","Tower Of Power",1973,0,0,2013-07-17,"Funk,Soul",English
50375,"I Know What You Did Last Summer","Shawn Mendes",2015,1,0,2016-03-01,"Pop,Duet",English
7002,"What She's Doing Now","Garth Brooks",1991,0,0,2018-06-25,"Country,Soft rock",English
32219,"What Do You Want to Make Those Eyes at Me For?","Emile Ford",1959,0,0,2016-11-14,"Rock 'n Roll",English
30052,"What I Did for Love","A Chorus Line",1985,0,0,2018-09-03,"TV & movie soundtrack,Musical",English
26915,"What Child Is This","Christmas Carol",1865,0,0,2011-05-30,"Christmas,Christian,Traditional",English
26644,"What I Am","Edie Brickell",1988,0,0,2012-01-25,"Pop,Rock",English
20971,"What A Difference A Day Makes","Esther Phillips",1975,0,0,2012-08-15,"Disco,Soul",English
52824,"What Do I Know?","Ed Sheeran",2017,0,0,2017-04-04,Pop,English
18960,"What Are You Doing The Rest Of Your Life?","Michel Legrand",1969,0,0,2014-10-17,"TV & movie soundtrack,Jazz,Musical",English
8303,"What Now My Love","Frank Sinatra",1966,0,0,2011-05-31,Jazz,English
54808,"It Is No Secret (What God Can Do) (With The Royal Philharmonic Orchestra)","Elvis Presley",2017,0,0,2018-01-03,"Love,Gospel",English
19089,"Don't Tell Me What to Do","Pam Tillis",1990,0,0,2017-04-21,Country,English
29164,"Just Dropped In (To See What My Condition Was In)","Kenny Rogers And The First Edition",1968,0,0,2012-02-07,Rock,English
33497,"I Am What I Am","Shirley Bassey",1984,0,0,2011-08-10,"Musical,Classical",English
10283,"(What a) Wonderful World","Art Garfunkel",1978,0,0,2017-02-22,Folk,English
44945,"What's Going On","Donny Hathaway",1972,0,0,2013-10-08,"Soul,Jazz",English
25731,"What a Wonderful World","Eva Cassidy",2004,0,0,2018-06-09,"Soul,Love,Soft rock",English
18398,"That's What I Like About You","Trisha Yearwood",1991,0,0,2018-02-22,Country,English
17842,"I Want To Know What Love Is","Tina Arena",1997,0,0,2014-04-22,"Pop,Love",English
31050,"This Is What You Are","Mario Biondi",2006,0,0,2011-05-31,"Soul,Jazz",English
27563,"Whataya Want From Me","Adam Lambert",2009,0,0,2011-05-30,"Pop,Rock",English
27093,"What A Wonderful World","Renee Olstead",2000,0,0,2011-05-30,"Jazz,Pop",English
25593,"Baby (You've Got What It Takes)","Michael Bublé",2009,1,0,2011-05-30,"Blues,Jazz,Duet",English
46691,"Turn Down For What","DJ Snake",2013,0,0,2015-06-10,Electro,English
42278,"Watch What Happens",Newsies,2012,0,0,2015-04-08,Musical,English
31109,"I Am What I Am","La Cage aux Folles",1983,0,0,2011-08-16,Musical,English
49093,"What I Did For Love","Josh Groban",2015,0,0,2015-05-26,"Pop,Soft rock,Love,Musical",English
18657,"What'll I Do","Linda Ronstadt",1983,0,0,2015-04-08,"Jazz,Love",English
22418,"I Am What I Am (Single version)","Gloria Gaynor",1983,0,0,2015-04-10,"Pop,80s",English
15370,"What Would You Do","City High",2001,0,0,2018-07-13,"R&B,Rap",English
54416,"What'd I Miss",Hamilton,2015,0,0,2018-01-25,"Musical,Rap,Pop",English
39064,"What Child Is This","Carrie Underwood",2007,0,0,2011-12-27,Christmas,English
24815,"What's Your Name","Lynyrd Skynyrd",1977,0,0,2011-05-31,Rock,English
