Id,Title, Artist, Year, Duo, Explicit, Date Added, Styles, Languages
53406,(That's What You Get) For Lovin' Me,Elvis Presley,1973,0,0,2017-07-11,"Rock \'n Roll,Pop",English
10283,(What a) Wonderful World,Art Garfunkel,1978,0,0,2017-02-22,Folk,English
38499,"(What\'s So Funny \'Bout) Peace, Love, and Understanding",Brinsley Schwarz,1974,0,0,2018-01-17,Rock,English
31761,(Whatever It Is) I\'m Against It,Groucho Marx,1932,0,0,2013-12-07,"TV & movie soundtrack,Oldies",English
25113,Ain't What It Used To Be,Megan Mullins,2006,0,0,2012-06-16,Country,English
25593,Baby (You've Got What It Takes),Michael Bubl\xc3\xa9,2009,1,0,2011-05-30,"Blues,Jazz,Duet",English
7118,Baby (You\'ve Got What It Takes),Brook Benton,1960,1,0,2017-02-09,"Rock'n Roll,Duet,Oldies",English
34024,"Baby, What You Want Me To Do",Elvis Presley,1968,0,0,2011-05-31,"Blues,Oldies,Rock \'n Roll",English
16939,Ball of Confusion (That's What the World Is Today),The Temptations,1970,0,0,2012-04-29,Soul,English
38910,Call It What You Want,Foster The People,2011,0,0,2013-12-03,"Alternative,Pop,Rock",English
30243,Call It What You Want,New Kids On The Block,1989,0,0,2011-06-28,"R&B,Pop",English
54630,Call It What You Want To,Taylor Swift,2017,0,0,2017-12-11,Pop,English
54259,Choose What You Love Most (Let It Kill You),Lara Fabian,2017,0,0,2017-11-08,Pop,English
14554,Come What May,Moulin Rouge!,2001,1,0,2008-05-05,"Duet,Musical,TV & movie soundtrack",English
53403,Come What May,Vicky L\xc3\xa9andros,1972,0,0,2017-06-19,Pop,English
50010,Danse ta vie (Flashdance ... What a Feeling),Vitaa,2015,1,0,2016-01-11,"French pop,Dance,Electro,Duet",French
11467,December '63 (Oh What A Night),The Four Seasons,1976,0,0,2008-08-27,"Pop,Disco",English
45467,Do What U Want,Lady Gaga,2013,1,1,2013-12-11,"80s,Pop,R&B,Duet",English
46281,Do What U Want (feat. Christina Aguilera),Lady Gaga,2014,1,1,2014-02-18,"80s,Pop,R&B,Duet",English
13523,Do What You Do,Jermaine Jackson,1984,0,0,2011-05-31,Soul,English
54087,"Do What You Do, Do Well",Michael English,2015,0,0,2017-10-11,Pop,English
39178,Do You Feel What I Feel?,JLS,2011,0,0,2016-02-25,"Dance,Pop,R&B",English
34462,Do You Hear What I Hear,Children's Chorus,1955,0,0,2011-05-30,"Christmas,Kids",English
26247,Do You Hear What I Hear?,Carrie Underwood,2008,0,0,2011-11-21,Christmas,English
54200,Do You Hear What I Hear?,Martina McBride,1998,0,0,2017-11-09,Christmas,Pop,English
6994,Do You Hear What I Hear?,Anne Murray,1988,0,0,2007-11-26,"Christmas,Pop",English
26584,Do You Hear What I Hear?,Frank Sinatra,1973,0,0,2011-05-30,"Christmas,Oldies,Christian",English
54316,Do You Hear What I Hear?,Whitney Houston,1987,0,0,2017-10-30,"Christmas,Soul,Pop,Christian",English
39212,Do You Hear What I Hear? (Woman Voice),1960s Standards,1962,0,0,2012-11-21,Christmas,English
33732,Do You Know What I Mean,Lee Michaels,1971,0,0,2011-05-31,Rock,English
