,title,artist,,,,,,,,,,,,
50830,Heroes,Postmodern Jukebox,2016,0,0,2016-06-06,Pop,English,,,,,,
9023,Heroes,The Wallflowers,1998,0,0,2011-12-04,"Pop,Rock,TV & movie soundtrack",English,,,,,,
49277,Heroes,Måns Zelmerlöw,2015,0,0,2015-07-01,Pop,Rock,Electro,English,,,,
48645,Heroes,Conchita Wurst,2014,0,0,2015-03-26,Pop,Electro,English,,,,,
35122,Heroes,The X Factor Finalists,2010,0,0,2013-10-31,"Pop,Soft rock",English,,,,,,
32426,Heroes,Shinedown,2006,0,0,2012-03-16,Hard/Metal,Rock,English,,,,,
50554,Heroes (Live),David Bowie,1996,0,0,2016-02-03,Pop,Rock,Alternative,English,,,,
48356,Heroes (We Could Be),Alesso,2014,0,0,2014-12-26,Dance,Pop,English,,,,,
54533,Herz an,Beatrice Egli,2017,0,0,2017-12-06,Schlager,Dance,German,,,,,
53999,Herz an Herz,Blümchen,1996,0,0,2017-09-20,"Electro,Pop,Teen pop",German,,,,,,
49289,Herz über Kopf,Joris,2015,0,0,2015-12-10,Schlager,Folk,Rock,German,,,,
53181,Herzbeben,Helene Fischer,2017,0,0,2017-06-20,Schlager,Dance,German,,,,,
53360,Herzbewohner,Kerstin Ott,2016,0,0,2017-07-04,Pop,Electro,Dance,German,,,,
41133,Herzensschöner,Rosenstolz,1998,0,0,2016-06-05,"Pop,Soft rock",German,,,,,,
19495,Herzilein,Die Wildecker Herzbuben,1989,0,0,2015-05-25,Schlager,German,,,,,,
42848,Herzilein,Antonia aus Tirol,2003,0,0,2013-05-09,Schlager,German,,,,,,
39641,Herztattoo,Andrea Berg,2011,0,0,2012-03-26,Schlager,German,,,,,,
37339,Het is een nacht (Levensecht),Guus Meeuwis,1995,0,0,2011-11-20,Pop,Schlager,Dutch,,,,,
43322,Het is nog niet voorbij,Gerard Joling,2008,0,0,2013-05-01,Schlager,Dutch,,,,,,
54719,Het Is Over,O'G3NE,2016,0,0,2017-12-30,Love,Dutch,,,,,,
52389,Het kleine cafe aan de haven,John De Bever,2016,0,0,2017-02-09,Schlager,Dutch,,,,,,
36384,Het kleine café aan de haven,Vader Abraham,1975,0,0,2011-06-28,Schlager,Dutch,,,,,,
44272,Het laatste huis,Jason Bouman,2013,0,0,2013-09-21,Schlager,Pop,Dutch,,,,,
44278,Het land van maas en waal,Boudewijn De Groot,1967,0,0,2013-08-18,Folk,Schlager,Pop,Dutch,,,,
52700,Het Leven Danst Sirtaki,KLUBBB3,2016,0,0,2017-03-21,Schlager,Dance,Dutch,,,,,
26579,Het Masker,Nick & Simon,2009,1,0,2013-12-07,Schlager,Duet,Dutch,,,,,
33064,Het regent zonnestralen,Acda en de Munnik,1999,0,0,2014-10-06,Folk,Pop,Dutch,,,,,
22492,Het Werd Zomer,Rob de Nijs,1977,0,0,2016-03-03,"Love,Soft rock,Pop",Dutch,,,,,,
31534,Heureux d'un printemps,Paul Piché,1977,0,0,2018-07-12,"French pop,Folk",French,,,,,,
49999,Heut schlafen wir in meinem Cabrio,Jürgen Drews,2015,0,0,2016-03-21,Schlager,Dance,Electro,German,,,,
51919,Heut' Abend auf dem Weihnachtsmarkt,Wolfgang Petry,1998,0,0,2016-12-16,Christmas,Schlager,Rock,German,,,,
51923,Heut' Abend auf dem Weihnachtsmarkt (Tanzbar!),Wolfgang Petry,2003,0,0,2016-12-14,Christmas,Schlager,Dance,German,,,,
23448,Heut' abend hab' ich Kopfweh,Ireen Sheer,1991,0,0,2014-10-06,Schlager,German,,,,,,
