Song Title,Artist,Song Title,Artist
,,,
,"Iglesias, Enrique feat",17,Cross Canadian Ragweed
,Pitbull,,
,,,MK
,"Thicke, Robin & T.I. &",,
,,17 Again,"Gilbert, Brantley"
,Pharrell,,
,,17 Forever,Metro Station
#1,Nelly,,
,,18 & Life,Skid Row
#1 Crush,Garbage,,
,,18 Days,Saving Abel
#9 Dream,"Lennon, John",,
,,18 Till I Die,"Adams, Bryan"
(Medley) - Let's Stay,"BEatles, The Tina Turner",,
,,18 Wheeler,Pink
Together-Your Song-Let,& Elton John,,
,,18 Yellow Roses,"Darin, Bobby"
It Be,,,
,,1-800-273-8255,Logic & Alessia Cara &
(There is) No Greater,"Winehouse, Amy",,
,,,Khalid
Love,,,
,,19 & Crazy,Bomshel
1,"Solveig, Martin & Sam",,
,,19 You + Me,Dan + Shay
,White,,
,,1901,Phoenix
03 Bonnie & Clyde,Jay-Z & Beyonce,,
,,19-2000,Gorillaz
079ME,B Young,,
,,1944 (Ukraine Eurovision,Jamala
1 2 3 4,Feist,,
,,Entry 2016),
1 Thing,Amerie,,
,,1969,"Stegall, Keith"
"1, 2, 3, 4",Plain White T's,,
,,1973,"Blunt, James"
"1,2 Step",Ciara & Missy Elliott,,
,,1979,Smashing Pumpkins
"1,2 Step (Remix)",Force MDs,,
,,1982,"Travis, Randy"
1+1,Beyonce,,
,,1983,Neon Trees
10 Days Late,Third Eye Blind,,
,,1984,"Bowie, David"
10 Million People,Example,,
,,1985,Bowling For Soup
10 Out Of 10,"Nutini, Paolo",,
,,1994,"Aldean, Jason"
10 Seconds,"Sullivan, Jazmine",,
,,1999,Charli XCX & Troye Sivan
10 Seconds Down,Sugar Ray,,
,,,Prince
"10,000 Nights",Alphabeat,,
,,19th Nervous,"Rolling Stones, The"
"10,000 Promises",Backstreet Boys,,
,,Breakdown,
100 Dollar Bill (explicit),Jay-Z,,
,,1st of the Month,Bone Thugs n Harmony
100 Years,Five For Fighting,,
,,2 Become 1,Spice Girls
100% Chance Of Rain,"Morris, Gary",,
,,2 Faced,Louise
100% Cowboy,"Meadows, Jason",,
,,2 Hearts,"Minogue, Kylie"
100% Pure Love,"Waters, Crystal",,
,,2 In The Morning,New Kids On The Block
1000 Faces,"Montana, Randy",,
,,2 Minutes To Midnight,Iron Maiden
10th Ave. Freezeout,"Springsteen, Bruce",,
,,2 On,Tinashe & Schoolboy Q
11,"Pope, Cassadee",,
,,2 Phones (clean),"Gates, Kevin"
12:51,"Strokes, The",,
,,2 Reasons (explicit),"Songz, Trey feat T I"
1-2-3,"Barry, Len",,
,,20 Good Reasons,Thirsty Merc
,"Estefan, Gloria",,
,,20 Little Angels,"Griggs, Andy"
1-2-3-4 Sumpin' New,Coolio,,
,,2002,Anne-Marie
15 Minutes,"Atkins, Rodney",,
,,,Anne-Marie
15 Minutes Of Shame,"Cook, Kristy Lee",,
,,21 Guns,Green Day
16 @ War,Karina,,
,,21 Questions,Duets/50 Cent & Nate
16th Avenue,"Dalton, Lacy J.",,
,,,Dogg
1facebook.com/excessskaraoke,,Page,www.excessskaraoke.com
,,XS Master by TITLE,
Song Title,Artist,Song Title,Artist
21st Century Breakdown,Green Day,4 Minutes,Avant
21st Century Girl,"Smith, Willow",,Madonna & Justin
,,,Timberlake & Timbaland
21st Century Girls,21st Century Girls,,
,,4 Seasons Of Loneliness,Boyz II Men
22,"Allen, Lily",,
,,4 The Lovers,"Kane, Arika"
,"Swift, Taylor",,
,,4 To 1 In Atlanta,"Byrd, Tracy"
23,Mike Will Made-It &,,
,Friends,"4,3,2,1",LL Cool J
,Mike Will Made-It MIley,40 Kinds Of Sadness,"Cabrera, Ryan"
,Cyrus Juicy J & Wiz Khalif,,
,,40 oz to Freedom,Sublime
24 Hour Party People,Happy Mondays,,
,,400 Lux,Lorde
24 Hours At A Time,"Tucker, Marshall, Band",,
,,409,"Beach Boys, The"
24 Hours From Tulsa,"Pitney, Gene",,
,,42nd Street,Musical/42nd Street
24 Hours From You,Next Of Kin,,
,,44 More (clean),Logic
24/7,Artful Dodger & Mel B,,
,,45,"Gaslight Anthem, The"
,"Edmonds, Kevon",,
,,,Shinedown
2468 Motorway,"Robinson, Tom, Band",,
,,455 Rocket,"Mattea, Kathy"
24K Magic,"Mars, Bruno",,
,,48 Crash,"Quatro, Suzi"
24K Magic - explicit,"Mars, Bruno",,
,,4am,Our Lady Peace
24's,Richgirl & Bun B,,
,,4ever,"Veronicas, The"
25 Miles,"Starr, Edwin",,
,,4evermore,"David, Anthony & Algebra"
25 Minutes To Go,"Cash, Johnny",,
,,4th Of July,"McKnight, Brian"
25 Or 6 To 4,Chicago,,
,,5 Dollars,Christine & The Queens
26 Cents,"Wilkinsons, The",,
,,5 Miles To Empty,Brownstone
26 Miles,"Four Preps, The",,
,,5 Seconds of Summer,Amnesia
29 Nights,"Leigh, Danni",,
,,5 Years Time,Noah & The Whale
29 Palms,"Plant, Robert",,
,,5:15,"Who, The"
3,"Spears, Britney",,
,,50 Ways To Leave Your,"Simon, Paul"
3 Libras,"Perfect Circle, A",Lover,
3 Miles High,Travis,50 Ways To Say,Train
3 Words,"GoodbyeCole, Cheryl & Will.I.Am",,
30 Days,"50,000 NamesSaturdays, The",,"Jones, George"
30 Days In The Hole,Humble Pie,,"O'Hara, Jamie"
"30,000 Pounds Of","Chapin, Harry",50/50,Lemar
Bananas,,500 Miles,"Peter, Paul & Mary"
3005,Childish Gambino,500 Miles Away From,"Bare, Bobby"
Home35 MPH Town,"Keith, Toby",,
365 Days,"Ward, ZZ",5-1-5-0,"Bentley, Dierks"
37 Stitches,Drowning Pool,5-4-3-2-1,"Mann, Manfred"
39 (Thirty Nine),Queen,5-6-7-8,Steps
57 Chevrolet3am,Busted,,"Spears, Billie Jo"
,,59th Street Bridge Song,
,Matchbox 20,,Simon & Garfunkel
3's and 7's,6 AMQueens of the Stone Age,,"Patterson, Rahsaan"
4 + 20,"6 Foot 7 FootCrosby, Stills, Nash &",,Lil Wayne
,Young,,
,,,Lil Wayne & Cory Guns
4 In The Morning,"Stefani, Gwen",6 Underground,Sneaker Pimps
2facebook.com/excessskaraoke,,Page,www.excessskaraoke.com
,,XS Master by TITLE,
Song Title,Artist,Song Title,Artist
6 Words,Wretch 32,A cause des garcons,Yelle
"6, 8, 12","McKnight, Brian",A Guy Walks into a Bar,"Farr, Tyler"
60 Minute Man,"Dominoes, The",A Milli,Lil' Wayne
634-5789,"Blues Brothers, The",A Million Dreams,Musical/The Greatest
,,,Showman
,"Pickett, Wilson",,
,,,Pink
65 Love Affair,"Davis, Paul",,
,,A Quoi Ca Sert L'amour,"Piaf, Edith"
679,"Wap, Fetty",,
,,"A Team, The","Sheeran, Ed"
,"Wap, Fetty & Remy Boyz",,
,,A.D.I.D.A.S.,Killer Mike & Big Boi
68 Guns,"Alarm, The",,
,,,Korn
7 Days,"David, Craig",,
,,ABACAB,"Collins, Phil"
7 Rooms Of Gloom,"Four Tops, The",,
,,ABC,"Jackson 5, The"
7 Seas Of Rhye,Queen,,
,,Abc-def-ghi,Children's Songs/Big Bird
7 Things,"Cyrus, Miley",,
,,Abide,Lexi
7 Ways,Abs,,
,,Abide With Me,Christian
7 Years,"Graham, Lukas",,
,,Abilene,"Crow, Sheryl & Natalie"
7/11,Beyonce,,
,,,Maines
74-75,"Connells, The",,
,,,"Hamilton, George IV"
8 Mile,Eminem,,
,,About A Girl,Sugababes
800 Pound Jesus,Sawyer Brown,,
,,About You Now,"Cosgrove, Miranda"
80's Ladies,"Oslin, K. T.",,
,,,Sugababes
80's Mercedes,"Morris, Maren",,
,,Above All,"Smith, Michael W."
867-5309,"Tutone, Tommy",,
,,Abracadabra,"Miller, Steve, Band"
88 Lines About 44,"Nails, The",,
,,,Sugar Ray
Women,,,
,,"Abraham, Martin & John",Dion & The Belmonts
8th Of November,Big & Rich,,
,,Abrazame,"Iglesias, Julio"
8th World Wonder,"Locke, Kimberley",,
,,Absence Of Fear,Jewel
9 Crimes,"Rice, Damian",,
,,Absence Of The Heart,"Carter, Deana"
9 To 5,"Parton, Dolly",,
,,Absolute,"Fray, The"
90's Country,"Hayes, Walker",,
,,,Scritti Politti
90's Country,"Hayes, Walker",,
,,Absolute Beginners,"Bowie, David"
(Instrumental),,,
,,,"Jam, The"
911,"Jean, Wyclef & Mary J.",,
,,Absolutely (Story Of A,Nine Days
,Blige,,
,,Girl),
96 Tears,? & The Mysterians,,
,,Absolutely Nothing,"Houser, Randy"
98.6,Keith,,
,,Acapella,Karmin
99,Toto,,
,,,Kelis
99 Luftballons,Nena,,
,,Ac-Cent-T Chu-Ate The,"Mercer, Johnny"
99 Problems,Hugo,,
,,Positive,
,Jay-Z,,
,,Acceptable In The 80's,"Harris, Calvin"
99 Red Balloons,Nena,,
,,Accidental Racist,"Paisley, Brad & LL Cool J"
99 Shades Of Crazy,"Grey, JJ & Mofro",,
,,Accidentally In Love,Counting Crows
99 Times,"Voegele, Kate",,
,,Accidents Will Happen,"Costello, Elvis"
99.9% Sure,"McComas, Brian",,
,,According To You,Orianthi
A & E,Goldfrapp,,
,,Ace In The Hole,"Strait, George"
3facebook.com/excessskaraoke,,Page,www.excessskaraoke.com
,,XS Master by TITLE,
Song Title,Artist,Song Title Artist,
Ace Of Spades,Motorhead,"Adore You Cyrus, Miley",
Aces,"Bogguss, Suzy",Adorn Miguel,
Aces High,Iron Maiden,"Adoro Spanish/Susana, Graciela",
Achilles Heel,Toploader,"Adrienne Calling, The",
Achy Breaky Heart,"Cyrus, Billy Ray",Adventure Of A Lifetime Coldplay,
Achy Breaky Song,"Yankovic, "" Weird Al""","Adventure, The Angels & Airwaves",
Acquainted,"Weeknd, The",Adventures of Raindance Red Hot Chili Peppers,
,,"Maggie, The",
Across The Universe,"Apple, Fiona",,
,,"Advertising Space Williams, Robbie",
,"Beatles, The",,
,,AEIOU (And Sometimes,
Act A Fool,Ebn OznLudacris,,
,,Y),
Act Like You Know,Fat Larry's Band,,
,,Aenima Tool,
Act Naturally,"Beatles, The",,
,,Aerials System Of A Down,
,"Owens, Buck",,
,,Aeroplane Red Hot Chili Peppers,
Action Man,"Huld, Hafdis",,
,,"Affair Of The Heart Springfield, Rick",
Adalida,"Strait, George",,
,,Affirmation Savage Garden,
Adam & Evil,"Presley, Elvis",,
,,Africa Toto,
Adam's Song,Blink 182,,
,,Weezer,
Add It Up,"Violent Femmes, The",,
,,Afrodisiac Brandy,
"Addam's Family, The",TV Tunes,,
,,"After A Kiss Tillis, Pam",
Addams Groove,Hammer,,
,,"After All Buble, Michael & Bryan",
Addicted,"Clarkson, Kelly",,
,,Adams,
,"Iglesias, Enrique",,
,,"Duets/Cetera, Peter &",
,Saving Abel,,
,,Cher,
,"Seals, Dan",,
,,"James, Brett",
,"Shelton, Blake",,
,,"Jarreau, Al",
,Simple Plan,,
,,"After All The Good Is Twitty, Conway",
,"Winehouse, Amy",,
,,Gone,
Addicted To A Dollar,"Stone, Doug",,
,,"After All These Years Cochran, Anne & Jim",
Addicted to a Memory,Zedd & Bahari,,
,,Brickman,
Addicted To Bass,Puretone,,
,,"After All This Time Webbe, Simon",
Addicted To Love,"Palmer, Robert",,
,,After Dark Tito & The Tarantulas,
,"Turner, Tina",,
,,After Hours Bluetones,
Addicted To Spuds,"Yankovic, "" Weird Al""",,
,,We Are Scientists,
,"Yankovic, ""Weird Al""",,
,,"After Loving You Presley, Elvis",
Addicted To You,Avicii,,
,,"After Midnight Clapton, Eric",
,Madame Mayhem,,
,,After Party Koffee Brown,
Addiction,"Leslie, Ryan & Cassie &",,
,,Rye Rye,
,Fabolous,,
,,After The Afterparty Charli XCX & Lil Yachty,
Addictive,Truth Hurts & Rakim,,
,,After The Ball Standards/Traditional,
Address In The Stars,Caitlin & Will,,
,,"After The Fire Is Gone Duets/Twitty, Conway &",
Adia,"McLachlan, Sarah",,
,,Loretta Lynn,
Adios Amigo,"Reeves, Jim",,
,,"After The Glitter Fades Nicks, Stevie",
Adolescents,Incubus,,
,,"After The Gold Rush Young, Neil",
Adon Olam,Jewish Favorites,,
,,After The Laughter Big Wood,
4facebook.com/excessskaraoke,,Page www.excessskaraoke.com,
,,XS Master by TITLE,
Song Title,Artist,Song Title Artist,
After The Love Has Gone,"Earth, Wind & Fire","Ain't Goin' Down Brooks, Garth",
,Steps,Ain't Gon' Beg You Fantasia,
After The Lovin',"Humperdinck, Engelbert","Ain't Gonna Bump No Tex, Joe",
,,More,
After The Music Fades,"Christian/Groves, Shaun",,
,,Ain't Got Far To Go,
After The Music's,"Glynne, JessOwen, Jake",,
Stopped,,Ain't Got No Musical/Hair,
After The Rain Has,Sting,Ain't Got No (Reprise) Musical/Hair,
Fallen,,,
,,"Ain't Got No Home Henry, Clarence",
After The Thrill Is Gone,"Eagles, The","""Frogman""",
After You've Gone,"Ain't Got No/I Got LifeSinatra, Frank","Simone, Nina",
,Ain't Got Nothin' But The Standards/Traditional,"Ford, Robin",
,,Blues,
Afterglow,Wilkinson,,
"Montgomery, John MichaelAfterlife",Avenged Sevenfold,Ain't Got Nothin' On Us,
"Bolton, MichaelAftermath",R.E.M.,Ain't Got Nothing If You,
,,Ain't Got Love,
Afternoon & Coffee,Crash Test Dummies,,
"Smith, ConnieSpoon",,Ain't Had No Lovin',
ParamoreAfternoon Delight,"Starland Vocal Band, The",Ain't It Fun,
"Lopez, JenniferAgadoo",Black Lace,Ain't It Funny,
JaheimAgain,Alice In Chains,Ain't Leavin' Without You,
,,"Ain't Misbehavin' Bruce, Tommy",
,"Evans, Faith",,
,"Montana, RandyKravitz, Lenny",Ain't Much Left Of Lovin',
,,You,
,"Torme, Mel",,
,,"Ain't My Fault Larsson, Zara",
,"Wap, Fetty",,
"Nail, JimmyAgain Again",Lady Gaga,Ain't No Doubt,
WhitesnakeAgainst All Odds,"Brookstein, Steve",Ain't No Love In The,
,,Heart Of The City,
,"Carey, Mariah",,
,,"Ain't No Man Carroll, Dinah",
,"Collins, Phil",,
,,"Ain't No Mountain High Duets/Gaye, Marvin &",
Against The Grain,"Brooks, Garth",,
,,Enough Tammi Terrell,
Against The Wind,Brooks & Dunn,,
,,"McDonald, Michael",
,"Seger, Bob",,
,,"Ross, Diana",
Agapa Me,Greek Favorites,,
,,"Ain't No Other Man Aguilera, Christina",
Agnus Dei,"Smith, Michael W.",,
,,Ain't No Party Orson,
Agony,"Faith, Paloma",,
,,Ain't No Rest For The Cage The Elephant,
Ah Leah,"Iris, Donnie",,
,,Wicked,
Ahab The Arab,"Stevens, Ray",,
,,Ain't No Stoppin' Us Now McFadden & Whitehead,
Ahh,Ciara & J. Hood,,
,,"Ain't No Stopping Her Bowers, Ash",
Ain’t Nobody (Loves Me,"Jaehn, Felix & Jasmine",,
,,Now,
Better),Thompson,,
,,"Ain't No Sunshine Withers, Bill",
,"King, Elle",,
,,"Young, Will",
Ain't Back Yet,"Chesney, Kenny",,
,,"Ain't No Way Franklin, Aretha",
Ain't Easy,"Farley, Rachel",,
,,"Ain't No Way To Treat A Reddy, Helen",
Ain't Enough Roses,"Brokop, Lisa",,
,,Lady,
Ain't Even Done With,"Mellencamp, John Cougar",,
,,"Ain't No Woman (Like Four Tops, The",
The Night,,,
,,The One I Got),
Ain't Giving Up,"David, Craig & Sigala",,
5facebook.com/excessskaraoke,,Page www.excessskaraoke.com,
,,XS Master by TITLE,
Song Title,Artist,Song Title,Artist
Ain't Nobody,"Khan, Chaka",Air Force Ones,Nelly
,LL Cool J,Air Guitar,McBusted
Ain't Nobody Gonna,"Raye, Collin",Air Hostess,Busted
Take That From Me,,,
,,"Air That I Breathe, The","Hollies, The"
Ain't Nobody Like You,"Howard, Miki",,
,,Airplanes,B.o.B & Hayley Williams
Ain't Nobody's Business,"Witherspoon, Jimmy",,
,,Airport,"Motors, The"
Ain't Nothing 'Bout You,Brooks & Dunn,,
,,Al Kol Eleh,Jewish Favorites
